Date,China,India,Norway,US,Japan,Thailand,Chile,vietnam,Indonesia
15/07/2015,-0.050309037,0.193398742,-0.033680695,0.578148541,0.08775407,-0.027725406,-0.052799846,-0.025975486,0.005449605
15/08/2015,0.061484525,0.133290842,-0.05009706,0.283886848,0.091757074,0.059681037,-0.110531498,0.059592097,0
15/09/2015,0.119383225,0.206980459,0.225106904,0.000367175,-0.279920016,-0.089780288,0.403153305,-0.09531018,0.010810916
15/10/2015,-0.060099774,-0.024560066,0.196930189,-0.36647462,0.190188725,0.055686077,-0.207589073,0.061693569,0.026526754
15/11/2015,0.146246344,-0.195142116,-0.104388176,-0.177842622,-0.157468517,-0.064324457,-0.135525997,-0.070826053,0
15/12/2015,0.166344343,0.030053499,-0.010789394,-0.320362517,0.284774716,0.042245638,0.009530467,0.044850566,0.010416761
15/01/2016,-0.163481498,-0.367107115,-0.067349491,-0.374976146,-0.391604089,-0.037235379,-0.110753147,0.025975486,0.00516797
15/02/2016,-0.545068791,0.034544964,0.052818824,0.614780493,0.031245448,0.016894196,-0.477098895,0.016949558,0.0102565
15/03/2016,0.317996467,0.110744171,0.06398937,0.225209465,0.322501918,0.090690106,0.653757298,0.09607383,-0.005115101
15/04/2016,0.033866884,-0.133383585,-0.029396438,-0.165854984,-0.080143305,-0.162206981,-0.57534335,-0.165667122,0.01020417
15/05/2016,0.134235488,0.18767119,-0.088206727,-0.303024776,-0.131033662,0.078417292,0.787222665,0.077961541,0
15/06/2016,-0.139178615,0.236591924,0.051379539,0.004524615,0.143051713,-0.026068892,-0.462442136,-0.025317808,0.015113638
15/07/2016,0.081167494,0.092512819,-0.082601889,0.731896818,-0.082500848,-0.02047225,0.196913236,-0.017241806,-0.010050336
15/08/2016,-0.001469541,-0.007875835,0.079490331,0.047571068,0.019356931,0.0443204,0.093221768,0.042559614,0
15/09/2016,-0.028938834,0.142686129,0.212959118,-0.07067657,-0.035924728,0.150204646,-1.086002209,0.14698219,0.010050336
15/10/2016,0.048637385,0.120046118,0.06572569,-0.152227043,0.04051315,-0.072799062,0.494283105,-0.066939483,0
15/11/2016,0.167657893,-0.160181096,-0.034989816,-0.378612534,-0.035263409,-0.02037069,0.360638678,-0.023347364,0.009950331
15/12/2016,0.000130145,-0.049556221,-0.069578181,-0.036896512,0.293501778,0.034265478,0.020814686,0.031010237,0.009852296
15/01/2017,-0.024101016,-0.311534073,-0.102602819,-0.439233662,-0.616833325,-0.301851247,-0.37078094,-0.174716957,0.009756175
15/02/2017,-0.881345283,-0.024291621,0.019713145,0.277234156,0.415211566,0.099691348,-0.347204877,0.103540679,0
15/03/2017,0.674339972,0.208936879,0.158316443,0.510221345,0.308805667,0.249325367,0.497987679,0.245834963,-0.00486619
15/04/2017,-0.025002398,-0.056529477,-0.273315221,-0.036973963,-0.24612404,-0.26006339,-0.289138378,-0.262364264,-0.009804
15/05/2017,0.049981276,0.12626339,0.101416026,-0.518366611,-0.178253906,0.213912018,0.594830569,0.216454563,0.004914015
15/06/2017,-0.014043903,0.090549434,0.001588256,0.116217954,0.096717176,-0.015732268,-0.321544457,-0.013513719,0
15/07/2017,-0.088243668,0.14708953,-0.1353007,0.625624851,-0.165958411,-0.096793982,-0.214085909,-0.100083459,0.004889985
15/08/2017,0.086658029,-0.034373389,0.116006415,0.282286055,0.029182371,0.082064953,0.468251839,0.086384614,0.009708814
15/09/2017,-0.068159448,0.17791193,0.070125518,-0.011853469,-0.089760494,-0.011983745,-0.054607076,-0.013889112,0.004819286
15/10/2017,0.091780335,-0.068096361,0.119649975,-0.269594951,0.250544839,-0.174736185,0.09757025,-0.175352887,0.014320054
